부품번호,품명수정
3737004950,알터네이터
3520007000,CVVD
2400007171,CVVD
3937407000,EGR 압력 센서
2841004900,EGR 쿨러
2841007000,EGR 쿨러
2244207010,PCV캡 가스켓
2529007490,PYD & TVD 디커플러 앗세이
1751116000,가스켓
1751212000,가스켓
2113403000,가스켓
2113404000,가스켓
2244107071,가스켓 - 센터 볼트
2516007800,워터펌프 가스켓
2516008000,워터펌프 가스켓
1751210000,가스켓
2849104900,가스켓－EGR 파이프
2849204900,가스켓－EGR 파이프
2849207000,가스켓－EGR 파이프
2244103050,가스켓－로커 커버
2244103080,가스켓－로커 커버
2244104050,가스켓－로커 커버
2244104070,가스켓－로커 커버
2244104090,가스켓－로커 커버
2244107000,가스켓－로커 커버
2244107070,가스켓－로커 커버
2244108000,가스켓－로커 커버
2145133A02,가스켓－리퀴드 엔진
2145133A02EU,가스켓－리퀴드 엔진
2145133T00,가스켓－리퀴드 엔진
2145133T01EU,가스켓－리퀴드 엔진
4C11634000EU,가스켓-리퀴드(수동변속기)
4C11635100,가스켓-리퀴드(수동변속기)
2852103600,익스매니
287513S000,가스켓－배기 파이프
2831207000,가스켓-스로틀 보디
2831207500,가스켓-스로틀 보디
2831204900,가스켓-스로틀 보디
2231103500,헤드 가스켓
2231103610,헤드 가스켓
2231103800,헤드 가스켓
2231104000,헤드 가스켓
2231104020,헤드 가스켓
2231104031,헤드 가스켓
2231104800,헤드 가스켓
2231107002,헤드 가스켓
2231108002,헤드 가스켓
223112B610,헤드 가스켓
282462B710,가스켓-오일 드레인
2824607600,가스켓-오일 드레인
2824707600,가스켓-오일 드레인
2151323001,오일팬 볼트
2517008000,워터펌프 가스켓
2853504GC0,가스켓－캐털리스트 케이스
2853504HA0,익스매니
2853507032,가스켓－캐털리스트 케이스
2853507400,가스켓－캐털리스트 케이스
2824603010,터보차져
282472B700,터보차져
2852104500,터보차져
2831307500,익스매니
2841104600,인매니
2443207010,체인가이드
2443208000,체인가이드
2443103010,체인가이드
2443104000,체인가이드
2443104070,체인가이드
2443107010,체인가이드
2562008000,개스킷－하우징
1022508003,너트
597393M000,너트
1327106007K,너트
1339506001,너트
1339606007K,너트
3380042100,노즐 & 홀더 어셈블리-인젝션
283202A600,디바이스 어셈블리-스월
3737003175,알터네이터
3737004970,알터네이터
3737007400,알터네이터
3737007500,알터네이터
2661104420,로드 어셈블리－오일 레벨 게이지
2661107500,로드 어셈블리－오일 레벨 게이지
2351003330,콘로드
2351003800,콘로드
2351004050,콘로드
2351007800,콘로드
2455103002,로커 암
2455108000,로커 암
3734004200,알터네이터
3734007200,알터네이터
2222302500,록－밸브 스프링 리테이너
353252G700,롤러 태핏
353252M410,롤러 태핏
2521207490,리브드 벨트-V
2222203000,리테이너－밸브 스프링
2304003220,링 세트－피스톤
2304004100,링 세트－피스톤
2304004260,링 세트－피스톤
2304003AB2,링 세트－피스톤
282162F700,링－리테이닝
2341304500,링－스냅
3630007000,MHSG
3630007000FFF,MHSG
2851004420,익스매니
2851004480,익스매니
2851004500,익스매니
2831003810,인매니
2831004000,인매니
2831004960,인매니
2831007600,인매니
2851003EE0,익스매니
2851003EF0,익스매니
2851003GA1,익스매니
2851003GB1,익스매니
2851003GC1,익스매니
2851003GD1,익스매니
2851003GE1,익스매니
3510003700,ETC
3510003720,ETC
3510003AA0,ETC
3510003BB0,ETC
3510003BB0QQK,ETC
3510003BC0,ETC
3510004220,ETC
3510004600,ETC
3510004610,ETC
3510004900,ETC
3510004900QQK,ETC
3510004920,ETC
3510004920QQK,ETC
3510004930,ETC
3510007250,ETC
3510007270,ETC
3510008000,ETC
3510008020,ETC
3510008050,ETC
2221203070,밸브
0K6A110104,밸브
2845004000,밸브 어셈블리－EGR
2845007000,밸브 어셈블리－EGR
2845007100,밸브 어셈블리－EGR
2845008000,밸브 어셈블리－EGR
2901503511,PCSV
2901503AA0,PCSV
2901504200,PCSV
2901507000,PCSV
2901507100,PCSV
2901507200,PCSV
2901507010,PCSV
2674003000,PCV밸브
2674004000,PCV밸브
2674004090,PCV밸브
2674004100,PCV밸브
2674007000,PCV밸브
267402G000,PCV밸브
2221203000,밸브
2221203HA0,밸브
2221204000,밸브
2221204030,밸브
2221204050,밸브
2221204700,밸브
2221207070,밸브
2221208000,밸브
394002C300,밸브－솔레노이드
3940003AA0,밸브－솔레노이드 웨이스트 게이트 컨트롤
3940003AB0,밸브－솔레노이드 웨이스트 게이트 컨트롤
3940004500,밸브－솔레노이드 웨이스트 게이트 컨트롤
2901002100,PCSV
2901008000,PCSV
3946003AA0,PCSV
3946004100,PCSV
394602G000,PCSV
2221103000,밸브
2221104000,밸브
2221108000,밸브
2435703170,VFS
2435707170,VFS
2435708000,VFS
2306004001,링 세트－피스톤
2102004003,링 세트－피스톤
0VN0211225,콘로드 베어링
414124Z000,클러치 베어링
373342C110,프론트베어링
2431542200,타이밍벨트
243492B000,볼드－체인
1601111000,볼－스틸
1123308166P,볼트
1123308286P,볼트
1140306126K,볼트
1140306146K,볼트
1140306256K,볼트
1140306306K,볼트
1140308301,볼트
1140308606K,볼트
1140410206K,볼트
1140410506P,볼트
1140410556P,볼트
1170306121,볼트
2642025400,볼트
1140308206K,볼트
2245104000,볼트 & 와셔 어셈블리
1125406201,볼트(와셔)
2436125000,CVVT
2232003000,헤드 가스켓
2232008200,헤드 가스켓
2232104010,헤드 가스켓
0K41310136A,헤드 가스켓
2825303010,볼트－아이 조인트
2825404550,볼트－아이 조인트
221232A001,볼트－캠 베어링 캡
235132A001,콘로드
2312704002,크랑크
2323104500,플라이휠
2331103010,플라이휠
2331107800,플라이휠
1140306163,볼트
1140306166K,볼트
1140308306K,볼트
1140308146K,볼트
1433108090,기타
3733007200,기타
2639103800,브라켓-오일 필터
3918104200,브라켓-와이어
373702E950,알터네이터
2111007500,쇼트엔진
2111008000,쇼트엔진
74AV307F00,쇼트엔진
75AV307F00,쇼트엔진
62AV308F00,쇼트엔진
11AV304P00,쇼트엔진
12AV304P00,쇼트엔진
18AV304P00,쇼트엔진
2110004501,쇼트엔진
2110004510,쇼트엔진
2110004701,쇼트엔진
2110004760,쇼트엔진
211002B600,쇼트엔진
41AV303P00,쇼트엔진
58AV304P00A,쇼트엔진
61AV304F00,쇼트엔진
73AV303F00,쇼트엔진
W411404P00,쇼트엔진
W419304P00,쇼트엔진
2550003850,서모스텟
255002B000,서모스텟
255002B400,서모스텟
3930004000,MAP센서
3930004100,MAP센서
3930008000,MAP센서
393002B000,MAP센서
393002B100,MAP센서
393002M417,MAP센서
3925003005,노크센서
3925003AA0,노크센서
3925004000,노크센서
3925004100,노크센서
3925004110,노크센서
3925004150,노크센서
3925007000,노크센서
3925007150,노크센서
3925003020,노크센서
3925007100,노크센서
3925008000,노크센서
3921004110,산소센서
3921004BB0,산소센서
3921007000,산소센서
3921007070,산소센서
3921007AC0,산소센서
3921007AC1,산소센서
3921007PD0,산소센서
3921007PD1,산소센서
3921008000,산소센서
3921008100,산소센서
3921003BB1,"센서 어셈블리-산소,리어"
3921004130,"센서 어셈블리-산소,리어"
3921004AA5,"센서 어셈블리-산소,리어"
3921004AB5,"센서 어셈블리-산소,리어"
3921004AC5,"센서 어셈블리-산소,리어"
3921003055,산소센서
3921003AA0,산소센서
3921003BB0,산소센서
3921004000,산소센서
3921004100,산소센서
3921004AA0,산소센서
3921004AC0,산소센서
2816404100,센서 어셈블리－에어 플로우
2816407000,센서 어셈블리－에어 플로우
3922003HA0,센서 어셈블리－워터 템퍼러춰
3922007300,센서 어셈블리－워터 템퍼러춰
3922008200,센서 어셈블리－워터 템퍼러춰
3922025500,센서 어셈블리－워터 템퍼러춰
392202S000,센서 어셈블리－워터 템퍼러춰
3922038030,센서 어셈블리－워터 템퍼러춰
284542M415,센서－EGR 템퍼러처
3935004100,CMP
3935026900,CMP
393502B030,CMP
393502A620,센서－람다
393002B050,BPS
393002G000,BPS
3930084400,BPS
0K62D18840,WTS
393602M415,센서－차압
3935003040,CMP
3935007000,CMP
393503A000,CMP
393503F000,CMP
393002F100,CMP
3935003030,CMP
3935007100,CMP
3935007150,CMP
3918003000,CKP
3918003100,CKP
3918004000,CKP
3918004020,CKP
3918004070,CKP
3918004150,CKP
3918004160,CKP
3918004170,CKP
3918004200,CKP
3918004220,CKP
3918007150,CKP
3918008000,CKP
391802B000,CKP
9475002000,OPS
9475002100,OPS
9475008000,OPS
947502M454,OPS
9475037100,OPS
2831503010,스크류
2625003301,스크린 어셈블리－오일
282332GTA1,스터드
2896203410,"스테이-WCC,UPR"
2896004500,스테이－배기 매니폴드
374604Z002,스트랩 앗세이－알터네이터
2312107010,스프로케트－크랭크샤프트
2222103001,밸브
2222107100,밸브
2222502500,시트－밸브 스프링
2673007180,신기 유입 호스 어셈블리
10AY404P00,헤드
11AY404P00,헤드
18AY404P00,헤드
75AY407F00,헤드
W307404P00,헤드
222242B001,실-밸브 스템
2142103000,프런트 오일씰
2142103001,프런트 오일씰
2142103002,프런트 오일씰
2142107000,프런트 오일씰
4311928050,프런트 오일씰
4311928060,프런트 오일씰
2132142031,프런트 오일씰
2144303011,리어오일씰
214432B020,리어오일씰
2841103670,씰-포트
2841104500,씰-포트
2528603801,아이들러
0SL0112130,암 어셈블리-로커
2461003000,HLA
10AQ104P00,서브엔진
11AQ104P00,서브엔진
14AQ104P00,서브엔진
15AQ104P00,서브엔진
17AQ104P00,서브엔진
18AQ104P00,서브엔진
22AQ104P00,서브엔진
23AQ104P00,서브엔진
24AQ104P00,서브엔진
38AQ104P00,서브엔진
41AQ103P00,서브엔진
42AQ103P00,서브엔진
58AQ104P00A,서브엔진
61AQ104F00,서브엔진
63AQ107F00,서브엔진
63AQ107F01,서브엔진
65AQ108F00,서브엔진
71AQ103F00,서브엔진
74AQ103F00,서브엔진
76AQ103F00,서브엔진
81AQ103F00,서브엔진
84AQ103F00,서브엔진
90AQ103F00,서브엔진
91AQ103F00,서브엔진
94AQ107F00,서브엔진
94AQ107F01,서브엔진
95AQ107F01,서브엔진
96AQ107F00,서브엔진
96AQ107F01,서브엔진
97AQ107F01,서브엔진
12AQ104P00,서브엔진
64AQ108F00,서브엔진
10AT204P00,쇼트엔진
10AT204P00A,쇼트엔진
11AT204P00,쇼트엔진
12AT204P00,쇼트엔진
18AT204P00,쇼트엔진
19AT204P00,쇼트엔진
20AT204P00,쇼트엔진
39AT204P00,쇼트엔진
41AT203P00,쇼트엔진
58AT204P00A,쇼트엔진
61AT204F00,쇼트엔진
62AT208F00,쇼트엔진
72AT203F00,쇼트엔진
73AT203F00,쇼트엔진
74AT203F00,쇼트엔진
76AT203F00,쇼트엔진
77AT203F00,쇼트엔진
79AT203F00,쇼트엔진
81AT203F00,쇼트엔진
82AT203F00,쇼트엔진
83AT207F00,쇼트엔진
84AT207F00,쇼트엔진
84AT207F01,쇼트엔진
85AT207F00,쇼트엔진
86AT207F00,쇼트엔진
W221204P00,쇼트엔진
W232204P00,쇼트엔진
3530504250,연료 튜브 에셈블리
2244307070,연료펌프 브라켓 가스켓
2435003001,CVVT
2435003170,CVVT
2435004000,CVVT
2435004090,CVVT
2435007000,CVVT
2435007170,CVVT
2437003000,CVVT
2437004000,CVVT
2437007000,CVVT
2437008100,CVVT
2114303000,오링
2114304010,오링
2512403010,오링
9769034310,오링
2435503011,OCV
2435503170,OCV
2437503010,OCV
2437503020,OCV
2437503030,OCV
2131507500,opcv
2131507501,opcv
2435508000,OCV
223222B100,헤드 가스켓
3941004500,와이어 어셈블리－익스텐션
3534104300,와이어 하네스-GDI 인젝터
2842308000,워터 호스-아웃터 믹서
2842208000,워터 호스-인렛
2845207500,익스텐션 와이어
2437603HA0,익스텐션 와이어
3922503BB0,익스텐션 와이어
3922504001,익스텐션 와이어
3931207000,익스텐션 와이어
3935207000,익스텐션 와이어
2735003200,익스텐션 와이어－점화 코일
2117104001,인서트
3531002800,인젝터
3531002900,인젝터
3531003300,인젝터
3531003AC0,인젝터
3531003BB0,인젝터
3531004000,인젝터
3531004400,인젝터
3531004AA0,인젝터
3531007100,인젝터
3531008000,인젝터
394502M400,전자식 RCV
3730003175,알터네이터
3730003355,알터네이터
3730003815,알터네이터
3730003870,알터네이터
3730003AA0,알터네이터
3730003BA0,알터네이터
3730003BA5,알터네이터
3730004070,알터네이터
3730004200,알터네이터
3730004250,알터네이터
3730004335,알터네이터
3730004835,알터네이터
3730004950,알터네이터
3730004970,알터네이터
3730007100,알터네이터
3730007150,알터네이터
3730007500,알터네이터
3730042711,제너레이터
3515007200,차압 밸브
3515008200,차압 밸브
2432207010,체인－오일 펌프
2432208000,체인－오일 펌프
2432103010,체인－타이밍
2432103101,체인－타이밍
2432103170,체인－타이밍
2432104000,체인－타이밍
2432104001,체인－타이밍
2432104002,체인－타이밍
2432104003,체인－타이밍
2432104005,체인－타이밍
2432104070,체인－타이밍
2432107010,체인－타이밍
2432108000,체인－타이밍
0K65A12420A,캠샤프트
2420003051,캠샤프트
2420003180,캠샤프트
2420004060,캠샤프트
2420004070,캠샤프트
2420004170,캠샤프트
2420007070,캠샤프트
2410003051,캠샤프트
2410003052,캠샤프트
2410004090,캠샤프트
2410004110,캠샤프트
2410007070,캠샤프트
2410008000,캠샤프트
2411003170,캠샤프트
253301P000,캡 어셈블리-라디에이터
2247007010,캡－밸브
1573212001,씰링캡
1573420000,씰링캡
1573430000,씰링캡
2111503000,씰링캡
2651026600,캡－오일 필러
2651035000,캡－오일 필러
2514007501,워터펌프
2514007800,워터펌프
2240002230,가스켓－로커 커버
2240007010,가스켓－로커 커버
2240007170,가스켓－로커 커버
2241004050,가스켓－로커 커버
2241004070,가스켓－로커 커버
2241004090,가스켓－로커 커버
2241004110,가스켓－로커 커버
413004A020,가스켓－클러치 커버
2135004520,체인커버
2135004600,체인커버
2135004610,체인커버
2135003120,체인커버
2135003170,체인커버
2135004530,체인커버
2135007000,체인커버
2135007170,체인커버
2135003080,체인커버
2135004501,체인커버
2853007031,익스매니
2853007035,익스매니
2853007051,익스매니
2853007301,익스매니
2853007401,익스매니
2853007402,익스매니
2853008220,익스매니
2853008250,익스매니
2563004600,WTC
2560003060,컨트롤 어셈블리-쿨런트 템퍼러쳐
2560003800,컨트롤 어셈블리-쿨런트 템퍼러쳐
2560004800,컨트롤 어셈블리-쿨런트 템퍼러쳐
263004Z300,컴플리트 앗세이－오일 필터
2134042106,케이스 어셈블리－오일 펌프
2853003BE5,익스매니
2853003BF5,익스매니
2853004GE0,익스매니
2853004GG2,익스매니
2853004GJ0,익스매니
2853004GJ1,익스매니
2853004HA4,익스매니
2853004HB0,익스매니
2853004HC0,익스매니
2853004HC1,익스매니
2853004HG0,익스매니
2730102300,이그니션 코일
2730103110,이그니션 코일
2730103200,이그니션 코일
2730103AA0,이그니션 코일
2730104000,이그니션 코일
2730104110,이그니션 코일
2730107000,이그니션 코일
2730107100,이그니션 코일
2730108000,이그니션 코일
2730108200,이그니션 코일
2730108200FFF,이그니션 코일
2730108200QQK,이그니션 코일
273012B010,이그니션 코일
2841008000,쿨러 어셈블리-EGR
2641003800,오일쿨러
2641004501,오일쿨러
0K55114701,오일쿨러
2311107000,크랑크
2311107800,크랑크
62AZ608F00,크랑크
75AZ607F00,크랑크
2311003810,크랑크
2311004800,크랑크
58AZ604P00,크랑크
61AZ604F00,크랑크
73AZ603F00,크랑크
1471166001,클램프－호스
