클레임유형,공장,생산법인,판매지역,수출국가,해외내수,등급,귀책구분,최종확정,차종,RO번호,차대번호,"원인부품
분류코드",부품번호,부품대분류,부품중분류,부품명,"직거래
/직개발",불량구분,"부품
대분류",부품계통,현상명(재분류),HKMC 현상,HKMC 현상명,HKMC 원인,HKMC 원인명,"파셜화
대상여부","Assy/
Partial",DTC 1번째,DTC 2번째,DTC 3번째,"생산
년월일",생산월,생산년,"판매
년월일",판매월,판매년,"선적
년월일",선적월,"정비등록
년월일",정비등록월,"정비확정
년월일",정비확정월,"데이터적재
년월일","데이터적재
년월",실적년,총주행거리(Km),"판매소요
일수","차량사용
일수","차량사용
기준개월","정비작업
코드",정비망코드,정비망,"해외딜러
코드",수리권역,수리지역,직/간접망구분,정비사업소명,"정비특이사항
코드","정비특이사항
제목명","품질특이사항
내용","품질특이사항
(번역)","클레임
발생구분","확정
부품금액","확정
부품금액",수리금액,외주금액,"차대번호
엔진코드","변속기
코드",엔진넘버,엔진명,엔진생산일,"트랜스미션
번호","개발업체
코드",납품업체,3M 100만,'12M 100만,36M 100만,이의제기,이의제기(기타),실적확정,신규RO조합,현대위아 현상,현대위아 현상명,현대위아 원인,현대위아 원인명,등록번호,접수자,"위아
처리구분","위아
진행단계",개선부문,경과일,의뢰일자,중복문제,재발여부,안전문제,심각도,협력사담당자
W:일반 클레임,서산1엔진,HMC,한국,한국,내수,B,,미확정,AX1,S02DK62025200106200,KMHB3518BPW071841,39300,3930008000,카파엔진,MAPS,센서 어셈블리－MAP,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ2,단품 외관 손상/파손 불량,비해당,비해당,U060F00,,,2023/03/09,2023/03,2023,2023/05/22,2023/05,2023,2023/05/20,2023/05,2025/10/17,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,14049,74,879,30,99999A1F,S02DK6,해운점,-,한국,경상남도,간접망,해운점,-,-,"[C]1.현상 : 엔진경고등점등
2.점검내용 및 원인 : 1.자기진단 U060F00 CAN통신회로 MAPorUAF센스 응답지연
2.MAP센스 배선점검시 단선확인됨(사진참조)
3.관련배선 개조및 작업흔적없음
4.배선 테이핑내부에서 단선된것르로 사용중과실에의한 단선은 아닌것으로 판단
5.생산과정부량사료(업체귀책)
3.조치내용 : 배선납땜수리
4.요망사항 : 수리후 출고",,,0,26.25,26.25,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDPD039636,G3LⅢ1.0MPI,20230228,EP4WD3376152,S045,서산1엔진,비대상,비대상,대상,비해당,,확정,2-GSWH-S02DK6-2025-2-001062-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMC,한국,한국,내수,B,,미확정,AX1,P01DG72025200165300,KMHB1518BPW039129,35310,3531008000,카파엔진,인젝터,인젝터 어셈블리－연료,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P030000,P030100,P030300,2022/07/22,2022/07,2022,2022/07/29,2022/07,2022,2022/07/30,2022/07,2025/10/20,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,34757,7,1179,40,35310R00,P01DG7,광안서부점,-,한국,부산광역시,간접망,광안서부점,-,-,"[C]1.현상 : 엔진부조 동반 엔진경고등 점등
2.점검내용 및 원인 : GDS 진단결과 P0301, P0302, P0300, P0303 실린더 실화 DTC 발생 확인
점화플러그 상태 점검시 특이점 없으며 엔진 압축압력 정상 확인
고장상황데이터 점검시 냉간 초기 시동시 DTC 발생 확인되며 공회전 급가속시 엔진 노킹음 간헐적 발생 확인됨
인젝터 불량으로 판단 교환 조치함
3.조치내용 : 인젝터 전체 교환
4.요망사항 : 요망사항없음",,,89.63,27.41,117.03,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDND129343,G3LⅢ1.0MPI,20220719,EN4WD3237256,,서산1엔진,비대상,비대상,비대상,비해당,,미확인,2-GSWH-P01DG7-2025-2-001653-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,HMC,한국,한국,내수,B,,미확정,AX1,M1M0062025200155600,KMHB3518BRW129933,25600,2560007500,카파엔진,기타,터멀 매니지먼트 모듈,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P012800,,,2024/06/19,2024/06,2024,2024/08/12,2024/08,2024,2024/08/10,2024/08,2025/10/15,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,41638,54,429,15,25613R00,M1M006,신천점,-,한국,대구광역시,간접망,신천점,-,-,"[C]1.현상 : 엔진경고등으로 입고함
2.점검내용 및 원인 : 진단시 써모스탯 성능이상 확인 
사고흔적없음. 
센서데이터및 배선 점검시 이상없음 

3.조치내용 : 터멀 매니지먼트 모듈 교환&냉각수 보충및 공기빼기후 정상 출고
4.요망사항 : 품질 개선 요망",,,66.84,35.7,102.54,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDRD103587,G3LⅢ1.0MPI,20240615,ER4WD3666914,S196,서산1엔진,비대상,비대상,대상,비해당,,확정,2-GSWH-M1M006-2025-2-001556-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,한국,한국,내수,B,,미확정,JA,LX21402025W00091700,KNAB1918BMT777353,28450,2845007000,카파엔진,EGR밸브,밸브 어셈블리－EGR,직거래,,E,엔진,경고등점등,W17,경고등 점등_경고등 점등-엔진,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P048900,P040100,,2021/01/04,2021/01,2021,2021/01/07,2021/01,2021,2021/01/08,2021/01,2025/10/14,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,71794,3,1741,59,28320R1K,LX2140,북정점,-,한국,경상남도,간접망,북정점,-,-,"[C]1.현상 : 엔진경고등 점등으로 입고
2.점검내용 및 원인 : P048900 배기가스 재순환(EGR) ""A"""" 제어 회로  신호 낮음 P040100 배기가스 재순환(EGR) 흐름량 부족 검출 표출됨. egr 밸브 이상으로 판단됨.
3.조치내용 : 밸브 어셈블리 EGR 교체 조치함.",,R,39.12,29.61,68.73,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDLD225034,G3LⅢ1.0MPI,20201229,EL3MD3906301,SE09,서산1엔진,비대상,비대상,비대상,비해당,,미확인,2-GSWK-LX2140-2025-W-000917-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,한국,한국,내수,B,,미확정,JA,HX13502025W00069000,KNAB2518BPT085235,25100,2510007010,카파엔진,워터펌프,펌프 어셈블리－쿨런트,직거래,,E,엔진,소음,Q72,엔진 소음/이음_공회전시,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,,,,2023/02/06,2023/02,2023,2023/04/05,2023/04,2023,2023/04/06,2023/04,2025/10/16,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,58045,58,925,31,25100R1K,HX1350,천곡점,-,한국,강원도,간접망,천곡점,-,-,"[C]1.현상 : 냉간시 벨트소음으로 입고함
2.점검내용 및 원인 : 냉간초기 시동시 워터 펌프에서 끽끽~~ 소음발생 확인됨.
3.조치내용 : 워터 펌프 교환후 출고함.",,R,53.13,31.92,85.05,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDPD020750,G3LⅢ1.0MPI,20230202,EP3MD3358152,RI14,서산1엔진,비대상,비대상,대상,비해당,,확정,2-GSWK-HX1350-2025-W-000690-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,한국,한국,내수,B,,미확정,JA,HK05202025W00228800,KNAB3518BNT972704,24410,2441007010,카파엔진,체인텐셔너,텐셔너 어셈블리-타이밍 체인,직거래,,E,엔진,소음,Q72,엔진 소음/이음_공회전시,ZZ5,상품성/성능 불만,해당,Partial,,,,2022/05/17,2022/05,2022,2022/05/18,2022/05,2022,2022/05/19,2022/05,2025/10/15,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,26542,1,1246,42,24322R1K,HK0520,신일자동차공업사,-,한국,강원도,간접망,신일자동차공업사,-,-,"[C]1.현상 : 냉간초기시동시 엔진룸측 기륵기륵 소음 발생증상 및 열간 아이들 상태 척척척 거리는 소음 발생 으로 
전날 입고
2.점검내용 및 원인 : 냉간 및 열간 발생되는 엔진측 소음 점검
3.조치내용 : 점검결과 냉간 초기시동시 발생되는 소음은 워터펌프 구동시 발생되는 소음 확인.
열간 발생되는 척척 소음 발생을 타이밍체인 및 텐셔너 구동시 발생되는 소음 확인되어 관련부품 교환
아이들상태 댐퍼풀리 흔들림 확인되어 동시 교체",,R,155.85,171.36,327.21,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDND086349,G3LⅢ1.0MPI,20220513,EN3MD3199416,SGQZ,서산1엔진,비대상,비대상,비대상,비해당,,미확인,2-GSWK-HK0520-2025-W-002288-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,한국,한국,내수,B,,미확정,JA,GX97702025W00044000,KNAB3518BPT036625,28450,2845007000,카파엔진,EGR밸브,밸브 어셈블리－EGR,직거래,,E,엔진,경고등점등,W11,경고등 점등_경고등 점등,ZZ5,상품성/성능 불만,비해당,비해당,P040400,P040400,,2022/10/21,2022/10,2022,2022/10/24,2022/10,2022,2022/10/25,2022/10,2025/10/20,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,36574,3,1092,37,28320R1K,GX9770,대화서부점,-,한국,경기도,간접망,대화서부점,-,-,"[C]1.현상 : 엔진 경고등 점등으로 입고됨
2.점검내용 및 원인 : 점검 및 확인결과  KDS진단시 P040400 배기가스 재순환EGR 액츄에이터제어회로이상 작동범위 성능이상
3.조치내용 : EGR밸브교환후 정상",,R,39.12,22.68,61.8,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDND184292,G3LⅢ1.0MPI,20221020,EN3MD3290476,SE09,서산1엔진,비대상,비대상,대상,비해당,,확정,2-GSWK-GX9770-2025-W-000440-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,한국,한국,내수,B,,미확정,JA,GK16002025W00088500,KNAB3518BNT950860,25100,2510007010,카파엔진,워터펌프,펌프 어셈블리－쿨런트,직거래,,E,엔진,소음,Q71,엔진 소음/이음_출발/가속시,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,,,,2022/03/22,2022/03,2022,2022/03/23,2022/03,2022,2022/03/24,2022/03,2025/10/20,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,66685,1,1307,44,25100R1K,GK1600,㈜한일카독크,-,한국,경기도,간접망,㈜한일카독크,-,-,"[C]1.현상 : 차량 시동 후 간헐적으로 소음발생한다고 하여 차량 입고됨
2.점검내용 및 원인 : 초기 냉간시동 후 가속시 워터펌프에서 ""끼릭끼릭"" ""끼리릭"" 소음 발생을 확인함
3.조치내용 : 워터 펌프 교환 후 소음 점검시 소음 미발생하여 차량 출고함",,R,53.75,35.28,89.03,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDND048956,G3LⅢ1.0MPI,20220318,EN3MD3169528,RI14,서산1엔진,비대상,비대상,비대상,비해당,,미확인,2-GSWK-GK1600-2025-W-000885-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,한국,한국,내수,B,,미확정,JA,EX02002025W00105800,KNAB2518BPT087418,25100,2510007010,카파엔진,워터펌프,펌프 어셈블리－쿨런트,직거래,,E,엔진,소음,Q75,엔진 소음/이음_주행중,ZZ5,상품성/성능 불만,비해당,비해당,,,,2023/02/09,2023/02,2023,2023/02/13,2023/02,2023,2023/02/14,2023/02,2025/10/10,2025/10,2025/10/20,2025/10,2025/10/21,2025/10,2025,29297,4,970,33,25100R1K,EX0200,만수점㈜,-,한국,인천광역시,간접망,만수점㈜,-,-,"[C]1.현상 : 냉간 시동시 엔진 소음 발생
2.점검내용 및 원인 : 엔진 소음 부위 점검
3.조치내용 : 엔진 소음 발생으로 점검결과
워터펌프쪽에서 소음이 발생하여 교환",,R,53.75,48.72,102.47,0,SOHC - TCI,AUTO - 4 SPEED 2WD,G3LDPD024942,G3LⅢ1.0MPI,20230208,EP3MD3360864,RI14,서산1엔진,비대상,비대상,대상,비해당,,확정,2-GSWK-EX0200-2025-W-001058-0-@-@-@-@-0-0,,,,,,,,,,,,,,N,,
W:일반 클레임,서산1엔진,Kia,아중동,이스라엘,수출,B,,미확정,JA,D06VBIS176KM2500000,KNAB351AJPT043742,28440,2844008000,카파엔진,EGR파이프,파이프－EGR,직거래,,E,엔진,경고등점등,W11,경고등 점등_경고등 점등,ZZ3,"단품 자체 불량(내부,기능,프로그램)",비해당,비해당,P040200,,,2022/11/08,2022/11,2022,2023/01/25,2023/01,2023,2022/11/14,2022/11,2025/10/16,2025/10,2025/10/19,2025/10,2025/10/21,2025/10,2025,75923,78,995,34,28550R1K,D06VB,,IS176,중동,,,,-,-,"[C]???? ?????? ?? ????? ???? ????? ???? ??????
[R]???? ????? ????? 
EGR
[T]?????? ??? ????? ???? ????? ????  ?????? ??? ???? 
P040200
???? ????? 
EGR 
????",[C]고객이 계기판에 엔진 경고등이 켜져 있다고 불만을 제기함 [R]EGR 파이프 교체 완료 [T]차량 점검 시 계기판에 엔진 경고등이 켜져 있음 고장 코드 P040200 확인 결과 EGR 파이프 파열 확인,R,41.49,12,53.49,0,DOHC - GDI,A_MANUAL,G4LFND195209,G4LⅢ1.2MPI,20221103,1NA1NDBA4094,PL56,서산1엔진,비대상,비대상,대상,비해당,,확정,1-GWMSK-@-@-@-@-0-@-D06VB-IS176-KM25002007-0-1,,,,,,,,,,,,,,N,,
